Title1,Title2
Apple iPhone 13 (128GB) - Starlight,"61,999"
Apple iPhone 11 (64GB) - Black,"39,999"
Apple iPhone 12 (128GB) - Blue,"57,900"
Apple iPhone 11 (64GB) - Black,"39,999"
Apple iPhone 12 (128GB) - Black,"57,900"
Apple iPhone 13 (128GB) - Pink,"2,589"
Apple iPhone 12 (128GB) - White,"3,530"
Apple iPhone 12 (128GB) - Purple,"4,086"
Apple iPhone 13 (128GB) - Starlight,"1,599"
Apple iPhone 12 (64GB) - Black,425
Apple iPhone 12 (64GB) - Blue,"5,088"
Apple iPhone 14 128GB Blue,"3,796"
Apple iPhone 12 (64GB) - (Product) RED,"1,600"
Apple iPhone 14 Pro 256GB Space Black,"61,999"
Apple iPhone 13 (128GB) - (Product) RED,"57,900"
Apple iPhone 14 128GB (Product) RED,"57,900"
Apple iPhone 13 Mini (128GB) - Midnight,"61,999"
Apple iPhone 14 Pro 128GB Space Black,"53,900"
